communitySlug,amenitySlugs
the-gardens-on-columbine,restaurant-style-dining|salon|courtyards|raised-garden-beds|library|emergency-response|secure-memory-care
the-gardens-on-quail,heated-courtyard-train|raised-garden-beds|putting-green|library|fitness-center|salon|chapel|theater-room|courtyards|restaurant-style-dining
golden-pond,restaurant-style-dining|therapy-center|library-computer-lab|salon|courtyards|secure-memory-care|emergency-response
stonebridge-assisted-living,private-dining|courtyards|library|salon|secure-memory-care|emergency-response|fitness-center|theater-room
