communitySlug,gallerySlug,title,description,hero,published,images,tags
golden-pond,main-gallery,Main Gallery,Community highlights,True,True,https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c15bf3aefb756832171b4d_standard.webp|https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c157140e24344541e96a3d_i-1.webp|https://cdn.prod.website-files.com/64b0cfee8f0d1851d628822b/64c15b04b0f0bd266146ca72_al-2bedroom-size.webp,outdoors|apartments|apartments
stonebridge-assisted-living,main-gallery,Main Gallery,Highlights across Assisted Living & Memory Care,True,True,https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/661e61c33fb6612bcdd3143a_2867.webp|https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/6613b31f5b2977b8506455a9_Photo%20Eleven.webp|https://cdn.prod.website-files.com/65cdea0cc4a584943a230b87/66165b7aded0a4682a2c2bab_Marquee%20Image%20Three.webp,memory-care|apartments|outdoors
the-gardens-on-columbine,main-gallery,Main Gallery,Campus & apartment highlights,True,True,,
the-gardens-on-quail,main-gallery,Main Gallery,Community & intergenerational highlights,True,True,,
